tamano,sector,ActividadEconomica,SENA,Temporal,BolsaEmpleo,Periodico,RecomendacioAmigos,RecomendacionTra,Otro,Nivel_contratados,TotalProfesionales,TotalTecTecnolo
MEDIANA,INDUSTRIA,INDUSTRIA FARMACEUTICA,2,5,6,4,,,,Tecnicos o Tecnologos,20,25
MEDIANA,INDUSTRIA,PRODUCCION INDUSTRIAL,1,7,4,,,,,Universitarios,3,2
MEDIANA,INDUSTRIA,COMERCIALIZACION DE PRODUCTOS,1,4,,,,,,Universitarios,20,10
MEDIANA,SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERIA,4,7,,,,,,Universitarios,10,8
MEDIANA,SERVICIOS,COMERCIO DE EQUIPOS DE COMPUTA,1,3,4,5,6,7,,Universitarios,4,0
MEDIANA,SERVICIOS,SERVICIOS JURIDICOS,1,6,5,7,,,,Tecnicos o Tecnologos,24,25
MEDIANA,SERVICIOS,REPRESENTACION AUTOMORIZ EXTRA,1,4,5,6,,,,Universitarios,3,1
MEDIANA,SERVICIOS,AGENCIAMIENTO DE GARGA,7,2,,,,,,Universitarios,15,10
MEDIANA,SERVICIOS,CONSTRUCCION,1,3,,,,,,Universitarios,17,10
MEDIANA,SERVICIOS,INVERSIONES,1,,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,CONSULTORIAS,4,6,5,2,,,,Universitarios,15,1
MEDIANA,SERVICIOS,TRANSPORTE DE CARGA,6,,,,,,,Tecnicos o Tecnologos,2,4
MEDIANA,SERVICIOS,MANUFACTURERA,1,2,5,6,,,,Universitarios,40,15
MEDIANA,SERVICIOS,COMPRA Y VENTA DE MATERIALES,2,1,5,7,,,,Tecnicos o Tecnologos,4,5
MEDIANA,SERVICIOS,HOTELERIA Y RESTAURANTES,1,5,6,,,,,Tecnicos o Tecnologos,1,4
MEDIANA,SERVICIOS,AGENTE DE CARGA,4,6,,,,,,Tecnicos o Tecnologos,0,1
MEDIANA,SERVICIOS,PUBLICIDAD,5,6,,,,,,Universitarios,1,0
MEDIANA,SERVICIOS,SERVICIOS,1,2,4,6,5,,,Tecnicos o Tecnologos,3,6
MEDIANA,SERVICIOS,CONSTRUCCION,2,,,,,,,Tecnicos o Tecnologos,5,6
MEDIANA,SERVICIOS,SERVICIO DE TRANSPORTE,4,1,6,,,,,Tecnicos o Tecnologos,4,6
MEDIANA,SERVICIOS,AGENCIA DE CARGA,6,7,5,4,,,,Tecnicos o Tecnologos,2,6
MEDIANA,SERVICIOS,FOTOGRAFIA,4,,,,,,,Universitarios,20,10
MEDIANA,SERVICIOS,CONSULTORES EN PROGRAMAS DE INFORMATICA ,4,5,6,,,,,Universitarios,24,0
MEDIANA,SERVICIOS,SERVICIOS DE ASESORIA,7,,,,,,,Tecnicos o Tecnologos,12,18
MEDIANA,SERVICIOS,TURISMO,5,6,,,,,,Universitarios,10,5
MEDIANA,SERVICIOS,ASADEROS DE POLLO,6,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,SERVICIOS DE CONSTRUCCION,1,4,,,,,,Tecnicos o Tecnologos,12,15
MEDIANA,SERVICIOS,SERVICIOS DE EXPORTACION,2,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,CONSTRUCTORA DE BIENES INMUEBL,1,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,INVERSIONES,1,5,6,,,,,Tecnicos o Tecnologos,2,4
MEDIANA,SERVICIOS,ASOCIACION,7,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,ASESORIAS,5,6,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,ALQUILER DE EQUIPOS PARA OF,4,,,,,,,Universitarios,5,0
MEDIANA,SERVICIOS,CONSTRUCCION,1,7,,,,,,Universitarios,30,0
MEDIANA,SERVICIOS,TELEFONIA CELULAR,1,2,4,5,6,,,Tecnicos o Tecnologos,30,50
MEDIANA,SERVICIOS,CONSTRUCCION,6,5,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,INGENIEROS ELECTRICO Y COMUNIC,1,5,6,,,,,Universitarios,30,15
MEDIANA,SERVICIOS,FINANCIERA,2,,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,EDUCACION,5,6,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,INVERSIONES,3,5,6,,,,,Tecnicos o Tecnologos,1,3
MEDIANA,SERVICIOS,CONSTRUCCION,6,5,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,SERVICIO FINANCIERO,6,,,,,,,Universitarios,3,0
MEDIANA,SERVICIOS,COMERCIO AL POR MAYOR DE PRODUCTOS DIVERSOS,7,,,,,,,Tecnicos o Tecnologos,2,4
MEDIANA,SERVICIOS,SERVICIOS DE HOSPEDAJE,7,,,,,,,Universitarios,12,0
MEDIANA,SERVICIOS,IMPRESION DE PAPEL,1,4,6,,,,,Tecnicos o Tecnologos,5,11
MEDIANA,SERVICIOS,CONSTRUCCION,1,4,6,5,,,,Tecnicos o Tecnologos,25,63
MEDIANA,SERVICIOS,LA LOGISTICA DE IMPORTACIONES,3,,,,,,,Universitarios,32,0
MEDIANA,SERVICIOS,COMERCIO,5,6,,,,,,Tecnicos o Tecnologos,12,13
MEDIANA,SERVICIOS,CONSTRUCCION,4,5,,,,,,Universitarios,3,0
MEDIANA,SERVICIOS,PRODUCCION DE MESCLAS ASFALTIC,4,,,,,,,Tecnicos o Tecnologos,5,10
MEDIANA,SERVICIOS,ARTES GRAFICAS,1,3,,,,,,Tecnicos o Tecnologos,10,12
MEDIANA,SERVICIOS,SERVICIOS,7,,,,,,,Universitarios,60,20
MEDIANA,SERVICIOS,CONSULTORIA,1,3,4,,,,,Universitarios,60,0
PEQUE¥A,COMERCIO,FABRICA AUTOPARTES,1,4,,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,COMERCIO,IMPORTADORES DECHOCOLATES Y GA,2,4,5,6,,,,Tecnicos o Tecnologos,1,5
PEQUE¥A,COMERCIO,VENTAS DE MATERIAL CONSTRUCCIO,4,5,6,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,COMERCIO,COMERCIO,6,4,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,COMERCIO,COMERCIO,5,,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,COMERCIO,PRODUCCION/COMERCIO DE LICORES,6,,,,,,,Universitarios,2,1
PEQUE¥A,COMERCIO,INMOBILIARIA,2,6,,,,,,Universitarios,2,0
PEQUE¥A,COMERCIO,VENTA DE COMBUSTIBLES,1,2,4,5,6,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,COMERCIO,VENTA REPUESTOS AUTOMOTORES,5,6,,,,,,Tecnicos o Tecnologos,2,2
PEQUE¥A,COMERCIO,COMERCIO,4,,,,,,,Universitarios,1,0
PEQUE¥A,COMERCIO,COMERCIALIZADORA ELECTRODOMEST,4,5,,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,COMERCIO,EXPORTACION,5,6,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,COMERCIO,RADIO Y TV,4,5,,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,COMERCIO,COMERCIO,6,,,,,,,Universitarios,1,0
PEQUE¥A,COMERCIO,VENDEDORES DE LUBRICANTES,5,6,,,,,,Tecnicos o Tecnologos,2,2
PEQUE¥A,COMERCIO,COMERCIO,6,5,,,,,,Tecnicos o Tecnologos,0,6
PEQUE¥A,COMERCIO,VENTA DE VEHICULOS,1,2,3,4,5,6,,Tecnicos o Tecnologos,15,30
PEQUE¥A,COMERCIO,COMERCIO,1,6,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,COMERCIO,VENTA DE MOTOS,1,5,6,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,COMERCIO,COMERCIO,6,,,,,,,Tecnicos o Tecnologos,0,2
PEQUE¥A,COMERCIO,COMERCIO AL POR MENOR DE MATERIALES PARA CONSTRUCCION,1,6,,,,,,Tecnicos o Tecnologos,1,1
PEQUE¥A,COMERCIO,SERVICIOS INMOBILIARIOS,5,6,,,,,,Tecnicos o Tecnologos,0,2
PEQUE¥A,COMERCIO,ADCESORIOS PARA CASA Y MUEBLES,2,,,,,,,Universitarios,2,2
PEQUE¥A,COMERCIO,ELABORAN Y VENTA DE FARMACEU,4,5,6,,,,,Universitarios,10,6
PEQUE¥A,COMERCIO,COMERCIO AL POR  MAYOR DE PRODUCTOS QUIMICOS BASICOS,5,1,,,,,,Universitarios,1,0
PEQUE¥A,COMERCIO,COMERCIO,5,,,,,,,Universitarios,1,0
PEQUE¥A,COMERCIO,PRODUCTO QUIMICO,7,,,,,,,Universitarios,4,1
PEQUE¥A,COMERCIO,COMPRA Y VENTA,2,,,,,,,Universitarios,1,0
PEQUE¥A,COMERCIO,FLORES,1,5,6,,,,,Universitarios,3,0
PEQUE¥A,COMERCIO,COMERCIO AL POR MAYOR DE PRENDAS DE VESTIR,5,6,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,COMERCIO,COMERCIO,7,,,,,,,Universitarios,4,2
PEQUE¥A,COMERCIO,SERVICIOS DE MANTENIMIENTO MAQ,5,6,,,,,,Universitarios,4,3
PEQUE¥A,COMERCIO,VENTA DE ENCICLOPEDIAS,2,5,6,,,,,Tecnicos o Tecnologos,0,3
PEQUE¥A,COMERCIO,VENTA PRODUCTOS METALMECANICOS,1,4,,,,,,Tecnicos o Tecnologos,7,15
PEQUE¥A,COMERCIO,AGROPECUARIA,5,,,,,,,Universitarios,2,0
PEQUE¥A,COMERCIO,PRESTACION DE SERVICOS EDUCATI,4,,,,,,,Universitarios,6,1
PEQUE¥A,COMERCIO,COMERCIANTE,4,,,,,,,Universitarios,2,1
PEQUE¥A,COMERCIO,COMERCIO PRODUCTOS QUIMICOS,6,,,,,,,Tecnicos o Tecnologos,3,5
PEQUE¥A,COMERCIO,COMERCIO DE BALANZAS ELECTRONI,6,,,,,,,Universitarios,4,3
PEQUE¥A,COMERCIO,SERVICIOS AUTOMOTRICES,1,4,5,6,,,,Tecnicos o Tecnologos,0,2
PEQUE¥A,COMERCIO,TRANPORTE DE PASAJEROS,5,,,,,,,Tecnicos o Tecnologos,0,3
PEQUE¥A,COMERCIO,VENTAS,5,6,,,,,,Universitarios,3,2
PEQUE¥A,COMERCIO,COMERCIO AL POR MENOR DE MUEBLES Y EQUIPOS DE OFICINA,1,6,,,,,,Universitarios,4,3
PEQUE¥A,COMERCIO,COMERCIO,1,6,5,,,,,Tecnicos o Tecnologos,2,3
PEQUE¥A,COMERCIO,COMERCIALIZADORA DE PRODUCTOS,6,,,,,,,Tecnicos o Tecnologos,8,67
PEQUE¥A,COMERCIO,FABRICACION/VENTA DE TEXTILES,6,1,2,,,,,Universitarios,50,30
PEQUE¥A,COMERCIO,SERVICIOS DE TELECOMUNICACIONE,4,5,,,,,,Universitarios,6,0
PEQUE¥A,COMERCIO,COMERCIO E IMPORTANCION AL POR,1,5,,,,,,Universitarios,1,1
PEQUE¥A,COMERCIO,FRABRICACION DE VENTANAS,1,4,,,,,,Universitarios,2,0
PEQUE¥A,COMERCIO,COMERCIO,4,,,,,,,Universitarios,5,0
PEQUE¥A,COMERCIO,COMERCIO AL POR MAYOR DE PARTE,7,6,,,,,,Universitarios,1,1
PEQUE¥A,INDUSTRIA,ARTES GRAFICAS,1,,,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,INDUSTRIA,FABRICACION DE ACOPLES,6,5,,,,,,Universitarios,1,0
PEQUE¥A,INDUSTRIA,INDUSTRIA,5,4,,,,,,Universitarios,2,1
PEQUE¥A,INDUSTRIA,FABRICACION DE MEDICAMENTOS,1,5,6,,,,,Tecnicos o Tecnologos,0,2
PEQUE¥A,INDUSTRIA,ARTES GRAFICAS,4,,,,,,,Tecnicos o Tecnologos,2,2
PEQUE¥A,INDUSTRIA,FLEXOGRAFIA,3,,,,,,,Universitarios,4,1
PEQUE¥A,INDUSTRIA,METALMECANICA,4,,,,,,,Tecnicos o Tecnologos,0,5
PEQUE¥A,INDUSTRIA,INDUSTRIA,4,6,,,,,,Universitarios,2,1
PEQUE¥A,INDUSTRIA,COMERCIO,7,,,,,,,Universitarios,2,0
PEQUE¥A,INDUSTRIA,FABRICACION EQUIPOS ESTEELIZAC,1,5,6,,,,,Universitarios,1,0
PEQUE¥A,INDUSTRIA,FABRICACION PRENDAS DE VESTIR,1,,,,,,,Universitarios,10,5
PEQUE¥A,INDUSTRIA,METALMECANICA,5,6,,,,,,Universitarios,1,0
PEQUE¥A,INDUSTRIA,TRANSFORMACION DE HIEERRO Y AC,2,5,,,,,,Universitarios,3,2
PEQUE¥A,INDUSTRIA,INDUSTRIA,1,2,4,6,,,,Tecnicos o Tecnologos,1,1
PEQUE¥A,INDUSTRIA,FABRICACION DE HERRAMIENTAS,4,,,,,,,Tecnicos o Tecnologos,0,4
PEQUE¥A,INDUSTRIA,CONFECCION,4,5,6,,,,,Tecnicos o Tecnologos,3,2
PEQUE¥A,INDUSTRIA,FABRICANTES DE MAQUINARIA,1,4,,,,,,Tecnicos o Tecnologos,2,3
PEQUE¥A,INDUSTRIA,PRESTACCION DE SERVICIOS CONTA,5,6,,,,,,Universitarios,2,0
PEQUE¥A,INDUSTRIA,FABRICACION DE PUBLICIDAD,1,5,6,,,,,Tecnicos o Tecnologos,3,5
PEQUE¥A,INDUSTRIA,CONFECCION DE ROPA,5,6,,,,,,Universitarios,1,1
PEQUE¥A,INDUSTRIA,IMPORTACION DE LIBROS,4,5,6,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,INDUSTRIA,COMERCIAR FILTROS AUTOMOTORES,3,5,6,,,,,Tecnicos o Tecnologos,10,10
PEQUE¥A,INDUSTRIA,FABRICACION DE PLASTICOS,1,4,5,6,,,,Tecnicos o Tecnologos,5,2
PEQUE¥A,INDUSTRIA,IMPORTACION Y COMERCIALIZACION,4,2,,,,,,Universitarios,1,0
PEQUE¥A,INDUSTRIA,FABRICACION DE PLASTICOS,6,,,,,,,Universitarios,6,3
PEQUE¥A,INDUSTRIA,INDUSTRIA,5,,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,INDUSTRIA,FABRICACION DE ALCOHOL,2,5,6,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,INDUSTRIA,ARTES GRAFICAS,2,5,,,,,,Universitarios,1,0
PEQUE¥A,INDUSTRIA,MANUFACTURA DE PRODUCTOS LACTE,4,,,,,,,Universitarios,1,0
PEQUE¥A,INDUSTRIA,INDUSTRIA,4,,,,,,,Universitarios,3,0
PEQUE¥A,INDUSTRIA,FARICACION DE PRODUCTOS DE BEL,1,2,3,4,5,6,,Tecnicos o Tecnologos,3,4
PEQUE¥A,INDUSTRIA,FABRICACION DE AUTOPARTES,6,4,,,,,,Universitarios,1,4
PEQUE¥A,INDUSTRIA,INDUSTRIA,4,7,,,,,,Tecnicos o Tecnologos,2,3
PEQUE¥A,INDUSTRIA,COMPRA Y VENTA DE PARTES MOTOR,5,,,,,,,Universitarios,1,0
PEQUE¥A,INDUSTRIA,COMERCIALIZACION,4,,,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,INDUSTRIA,ARTES GRAFICAS,5,6,,,,,,Universitarios,2,0
PEQUE¥A,INDUSTRIA,PRODUC ROPA EXTERNA FEMENINA,3,5,4,,,,,Tecnicos o Tecnologos,2,3
PEQUE¥A,INDUSTRIA,COMERCIALIZACION Y PRODUCCION,4,5,6,2,,,,Tecnicos o Tecnologos,2,3
PEQUE¥A,INDUSTRIA,PRODUCCION PRODUCTOS CARNICOS,6,,,,,,,Tecnicos o Tecnologos,1,3
PEQUE¥A,INDUSTRIA,DISTRIBUCION ELECTRICOS,1,5,,,,,,Universitarios,5,0
PEQUE¥A,INDUSTRIA,ACTIVIDADES DE IMPRESION,6,,,,,,,Universitarios,2,0
PEQUE¥A,INDUSTRIA,MANUFACTURA,1,6,3,,,,,Tecnicos o Tecnologos,4,2
PEQUE¥A,INDUSTRIA,MANUFACTURA DE PRODUCTOS DE ASEO,4,5,6,,,,,Universitarios,2,0
PEQUE¥A,INDUSTRIA,ENSAMBLES DE AUDIFONOS,1,5,6,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,INDUSTRIA,PRODUCTORA DE ALIMENTOS,6,,,,,,,Universitarios,2,0
PEQUE¥A,INDUSTRIA,INDUSTRIA,4,,,,,,,Universitarios,1,0
PEQUE¥A,INDUSTRIA,INDUSTRIA,1,2,4,5,6,7,,Tecnicos o Tecnologos,4,5
PEQUE¥A,INDUSTRIA,FABRIC PRODUCTOS FARMACEUTICOS,1,7,,,,,,Tecnicos o Tecnologos,15,30
PEQUE¥A,INDUSTRIA,ARTES GRAFICAS,4,5,6,1,2,,,Universitarios,1,4
PEQUE¥A,INDUSTRIA,INDUSTRIA ARTES GRAFICAS,1,4,,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,SERVICIOS,INMOBILIARIA,1,6,,,,,,Tecnicos o Tecnologos,0,5
PEQUE¥A,SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERIA,6,2,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,SERVICIOS,REPRESENTACION DE FRABICAS DE,4,,,,,,,Tecnicos o Tecnologos,1,6
PEQUE¥A,SERVICIOS,AGENTES DE CARGA INTERNACIONAL,5,,,,,,,Universitarios,2,0
PEQUE¥A,SERVICIOS,PRESTAMOS DE SERVICIOS CALIBRA,1,6,,,,,,Tecnicos o Tecnologos,4,5
PEQUE¥A,SERVICIOS,ASESORIA  EN SISTEMAS,1,4,,,,,,Universitarios,15,5
PEQUE¥A,SERVICIOS,MENSAJERIA,1,5,6,,,,,Universitarios,1,0
PEQUE¥A,SERVICIOS,SERVICIOS,6,5,,,,,,Tecnicos o Tecnologos,0,2
PEQUE¥A,SERVICIOS,SERVICIOS MEDICOS,2,,,,,,,Tecnicos o Tecnologos,1,4
PEQUE¥A,SERVICIOS,SERVICIOS TEMPORALES,5,6,,,,,,Universitarios,7,5
PEQUE¥A,SERVICIOS,SERVICIOS TEMPORALES,6,5,,,,,,Universitarios,6,4
PEQUE¥A,SERVICIOS,BODEGA Y ALMACENAMIENTO,6,1,,,,,,Tecnicos o Tecnologos,10,30
PEQUE¥A,SERVICIOS,COMERCIALIZACION DE IMPLEMENTO,4,,,,,,,Universitarios,2,0
PEQUE¥A,SERVICIOS,CCOMERCIO Y SERVICIOS,7,,,,,,,Universitarios,2,0
PEQUE¥A,SERVICIOS,COMPRA Y VENTA DE MUEBLES,5,6,,,,,,Tecnicos o Tecnologos,5,5
PEQUE¥A,SERVICIOS,SERVICIOS TEMPORALES,5,6,,,,,,Tecnicos o Tecnologos,6,7
PEQUE¥A,SERVICIOS,PILOTAJE,6,,,,,,,Universitarios,3,1
PEQUE¥A,SERVICIOS,CAPACITACION,5,6,7,,,,,Universitarios,10,2
PEQUE¥A,SERVICIOS,CORRETAJE DE SEGUROS,2,1,,,,,,Universitarios,1,0
PEQUE¥A,SERVICIOS,CONTRUCCION OBRA CIVIL,6,5,,,,,,Universitarios,2,0
PEQUE¥A,SERVICIOS,SELECCION Y CONTRATACION,1,,,,,,,Universitarios,12,5
PEQUE¥A,SERVICIOS,SEGUROS,6,5,4,3,2,1,,Tecnicos o Tecnologos,1,3
PEQUE¥A,SERVICIOS,INSUMOS AGRICOLAS,4,5,6,,,,,Tecnicos o Tecnologos,0,3
PEQUE¥A,SERVICIOS,COLEGIO,5,6,,,,,,Universitarios,5,0
PEQUE¥A,SERVICIOS,TRANSPORTE TERRESTRE DE CARGA,5,6,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,SERVICIOS,ASESORIAS,5,6,,,,,,Tecnicos o Tecnologos,1,1
PEQUE¥A,SERVICIOS,TURISMO Y ESCOLAR,2,3,,,,,,Universitarios,2,0
PEQUE¥A,SERVICIOS,VENTA DE ROPA EXTERIOR FEMENIN,2,4,5,6,,,,Universitarios,3,0
PEQUE¥A,SERVICIOS,PRE PRENSA DIGITAL,4,,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,SERVICIOS,LAVADO DE ROPA INDUSTRIAL,2,,,,,,,Tecnicos o Tecnologos,0,1
PEQUE¥A,SERVICIOS,TTRANSPORTE ESPECIAL,1,,,,,,,Universitarios,5,3
PEQUE¥A,SERVICIOS,CONSTRUCCION,4,6,,,,,,Universitarios,5,0
PEQUE¥A,SERVICIOS,ASESORIA COMUNICACION,1,4,,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,SERVICIOS,CORREO INTERNACIONAL,5,6,,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,SERVICIOS,ALQUILER DE MAQUINAS,6,1,,,,,,Tecnicos o Tecnologos,5,5
PEQUE¥A,SERVICIOS,TURISMO,5,6,,,,,,Tecnicos o Tecnologos,2,3
PEQUE¥A,SERVICIOS,IMPRESION,4,5,6,,,,,Tecnicos o Tecnologos,0,4
PEQUE¥A,SERVICIOS,SERVICIOS MEDICOS,7,,,,,,,Tecnicos o Tecnologos,0,3
PEQUE¥A,SERVICIOS,SERVICIOS MEDICOS,5,,,,,,,Universitarios,1,0
PEQUE¥A,SERVICIOS,SERVICIOS,2,,,,,,,Tecnicos o Tecnologos,1,1
PEQUE¥A,SERVICIOS,SERVICIOS MEDICOS,2,,,,,,,Universitarios,2,1
PEQUE¥A,SERVICIOS,SERVICIOS DE LABORATORIO CLLIN,6,7,,,,,,Universitarios,35,15
PEQUE¥A,SERVICIOS,RADIO Y TELEVISION,6,1,,,,,,Universitarios,2,1
PEQUE¥A,SERVICIOS,PRESTACION DE SERVICIOS,5,6,,,,,,Tecnicos o Tecnologos,70,80
PEQUE¥A,SERVICIOS,SERVICIOS,7,,,,,,,Universitarios,4,2
PEQUE¥A,SERVICIOS,AGRICULTURA Y GANADERIA,6,,,,,,,Universitarios,2,0
PEQUE¥A,SERVICIOS,SERVICIOS DE VIGILANCIA,5,6,,,,,,Tecnicos o Tecnologos,1,2
PEQUE¥A,SERVICIOS,PUBLICIDAD INFLABLE,3,4,,,,,,Universitarios,10,10
PEQUE¥A,SERVICIOS,SERVICIOS MEDICOS,2,4,5,,,,,Universitarios,1,0
PEQUE¥A,SERVICIOS,OPERADORES LOGISTICOS,1,2,,,,,,Tecnicos o Tecnologos,0,85
PEQUE¥A,SERVICIOS,DESAROLLO DE SOFTWARE,7,,,,,,,Universitarios,4,3
